Unnamed: 0,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_fec,candidate_fec_name
1849235,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,502 - RUE,Evan McMullin,mcmullin,US President,statewide,False,independent,total,4,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849236,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,601 - ACCOMAC,Hillary Clinton,clinton,US President,statewide,False,democratic,total,486,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849237,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,601 - ACCOMAC,Gary Johnson,johnson,US President,statewide,False,libertarian,total,16,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849238,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,601 - ACCOMAC,Jill Stein,stein,US President,statewide,False,green,total,8,P20003984,"STEIN, JILL"
1849239,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,601 - ACCOMAC,Donald Trump,trump,US President,statewide,False,republican,total,637,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849240,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,601 - ACCOMAC,[Write-in],in,US President,statewide,True,,total,4,,
1849241,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,601 - ACCOMAC,Evan McMullin,mcmullin,US President,statewide,False,independent,total,13,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849242,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,602 - TANGIER,Hillary Clinton,clinton,US President,statewide,False,democratic,total,27,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849243,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,602 - TANGIER,Gary Johnson,johnson,US President,statewide,False,libertarian,total,1,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849244,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,602 - TANGIER,Jill Stein,stein,US President,statewide,False,green,total,1,P20003984,"STEIN, JILL"
1849245,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,602 - TANGIER,Donald Trump,trump,US President,statewide,False,republican,total,221,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849246,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,602 - TANGIER,[Write-in],in,US President,statewide,True,,total,2,,
1849247,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,602 - TANGIER,Evan McMullin,mcmullin,US President,statewide,False,independent,total,1,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849248,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,701 - NANDUA,Hillary Clinton,clinton,US President,statewide,False,democratic,total,805,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849249,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,701 - NANDUA,Gary Johnson,johnson,US President,statewide,False,libertarian,total,35,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849250,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,701 - NANDUA,Jill Stein,stein,US President,statewide,False,green,total,7,P20003984,"STEIN, JILL"
1849251,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,701 - NANDUA,Donald Trump,trump,US President,statewide,False,republican,total,976,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849252,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,701 - NANDUA,[Write-in],in,US President,statewide,True,,total,14,,
1849253,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,701 - NANDUA,Evan McMullin,mcmullin,US President,statewide,False,independent,total,19,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849254,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,801 - BOBTOWN,Hillary Clinton,clinton,US President,statewide,False,democratic,total,202,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849255,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,801 - BOBTOWN,Gary Johnson,johnson,US President,statewide,False,libertarian,total,12,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849256,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,801 - BOBTOWN,Jill Stein,stein,US President,statewide,False,green,total,4,P20003984,"STEIN, JILL"
1849257,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,801 - BOBTOWN,Donald Trump,trump,US President,statewide,False,republican,total,369,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
